"DATE","Botswana","Lesotho","Namibia","SouthAfrica","Swaziland"
2030,0.00416441868263375,0.00946985665260285,5.27495585459497e-05,0.00474439288515516,0.00695715197905142
2031,0.00394613330083847,0.00916561825022914,4.31980462311972e-05,0.00454294756286043,0.00657619399199722
2032,0.00373928973398466,0.0088711541252151,3.5376053366724e-05,0.00435005554103149,0.0062160964070641
2033,0.00354328823907497,0.00858615025902409,2.89704109557971e-05,0.00416535364941435,0.00587571695557297
2034,0.00335756050970362,0.00831030272160354,2.37246564009662e-05,0.00398849413784159,0.00555397591690725
2035,0.0031815680282517,0.00804331734727185,1.94287655153637e-05,0.00381914402150066,0.00524985269352167
2036,0.00301480050445523,0.00778490942101817,1.59107437878684e-05,0.00365698445400185,0.00496238257349596
2037,0.00285677439581828,0.00753480337488033,1.30297402417569e-05,0.00350171012706568,0.00469065367036373
2038,0.00270703150558137,0.00729273249407733,1.06704081865179e-05,0.00335302869569928,0.00443380403050956
2039,0.00256513765417976,0.00705843863258291,8.73828708434444e-06,0.00321066022777959,0.00419101889895835
2040,0.00243068142033971,0.00683167193783683,7.15602063517115e-06,0.00307433667700714,0.0039615281348841
2041,0.00230327294816227,0.00661219058430045,5.86025966378936e-06,0.00294380137823794,0.00374460376863937
2042,0.00218254281673601,0.0063997605155723,4.7991258099852e-06,0.00281880856424348,0.00353955769255653
